Country,year,average_wages
Norway,2019,5373.86
United States,2019,4233.08
Finland,2019,3518.51
Singapore,2019,3344.92
United Kingdom,2019,3168.06
Slovakia,2019,1412.78
Uruguay,2019,989.19
Costa Rica,2019,929.38
Panama,2019,895.41
Lebanon,2019,780.07
Russian Federation,2019,690.93
Brazil,2019,603.46
Mauritius,2019,578.62
Argentina,2019,530.92
Ecuador,2019,512.32
Belize,2019,510
Thailand,2019,489.57
Albania,2019,476.83
Botswana,2019,476.62
Bosnia and Herzegovina,2019,474.54
Jordan,2019,454.49
Mongolia,2019,422.11
Serbia,2019,394.31
Paraguay,2019,391.37
Azerbaijan,2019,373.41
El Salvador,2019,347.29
Mexico,2019,343.32
Dominican Republic,2019,317.05
Honduras,2019,299.43
Viet Nam,2019,288.79
Philippines,2019,283.67
South Africa,2019,263
Indonesia,2019,183.47
Myanmar,2019,138.13
Iceland,2018,6694.36
Norway,2018,5608.36
Luxembourg,2018,4247.07
United States,2018,4088.47
Sweden,2018,3980.43
Finland,2018,3646.79
Singapore,2018,3289.49
"Korea, Republic of",2018,3264.88
United Kingdom,2018,3216.68
Israel,2018,2947.73
Spain,2018,2363.09
Slovenia,2018,2099.74
Czechia,2018,1550.12
Slovakia,2018,1387.95
Lithuania,2018,1121.67
Romania,2018,1105.38
Portugal,2018,1048.69
Greece,2018,1047.15
Uruguay,2018,1044.47
Panama,2018,870.47
Turkey,2018,820.11
Malaysia,2018,765.03
Bulgaria,2018,697.63
Tonga,2018,688.36
Argentina,2018,656.95
Mauritius,2018,649.32
Brazil,2018,625.23
Belize,2018,608.98
Jordan,2018,473.94
Bosnia and Herzegovina,2018,470.3
Albania,2018,468.46
Thailand,2018,462.51
Guyana,2018,460.04
Bolivia,2018,448.62
Paraguay,2018,420.1
Mongolia,2018,405.62
Serbia,2018,383.74
Guatemala,2018,346.32
Dominican Republic,2018,338.17
El Salvador,2018,332.11
Mexico,2018,328.09
Azerbaijan,2018,320.35
Zambia,2018,302.1
Honduras,2018,278.22
South Africa,2018,264.47
Philippines,2018,256.11
Viet Nam,2018,255.55
Armenia,2018,219.69
Chad,2018,219.16
"Moldova, Republic of",2018,202.18
Sri Lanka,2018,194.22
Burkina Faso,2018,192.68
Pakistan,2018,158.18
Myanmar,2018,142.04
Mali,2018,131.83
Egypt,2018,126.86
Gambia,2018,82.83
Costa Rica,2018,71.63
Iceland,2017,6664.2
Norway,2017,5356.84
United States,2017,3955.18
Sweden,2017,3942.05
Finland,2017,3451.18
Austria,2017,3095.33
Singapore,2017,3064.61
"Korea, Republic of",2017,3048.41
United Kingdom,2017,3011.67
Spain,2017,2226.6
Slovenia,2017,1945.31
Czechia,2017,1330.79
Slovakia,2017,1244.33
Uruguay,2017,1055.04
Greece,2017,991.75
Portugal,2017,967.01
Chile,2017,918.12
Costa Rica,2017,911.54
Argentina,2017,874.98
Panama,2017,854.87
Brazil,2017,681.06
Malaysia,2017,669.47
Russian Federation,2017,661.76
Mauritius,2017,615.56
Bulgaria,2017,603.3
Belize,2017,599.06
Jordan,2017,511.09
Samoa,2017,500.38
Kazakhstan,2017,462.66
Bolivia,2017,442.5
Thailand,2017,435.07
Bosnia and Herzegovina,2017,432.34
Zambia,2017,422.01
Albania,2017,411.14
Paraguay,2017,387.19
Mongolia,2017,387.14
Guatemala,2017,354.12
Serbia,2017,335.46
El Salvador,2017,318.55
Mexico,2017,317.66
Azerbaijan,2017,307.06
Dominican Republic,2017,295.91
Honduras,2017,292.75
Lao People's Democratic Republic,2017,285.56
Philippines,2017,250.89
Viet Nam,2017,240.13
Cambodia,2017,236.48
