Country,2000_value,2001_value,2002_value,2003_value,2004_value,2005_value,2006_value,2007_value,2008_value,2009_value,2010_value,2011_value,2012_value,2013_value,2014_value,2015_value,2016_value,2017_value,2018_value,2019_value
Afghanistan,,,,,0,0,0,0,0,0,0.01,,0,0,,0.02,0.02,0.03,0.04,0.05
Albania,,,,,,0.01,,0.33,2.13,3.09,3.58,4.38,5.49,6.29,7.18,8.4,9.23,10.53,12.56,15.14
Algeria,,,,0.06,0.11,0.41,0.51,0.84,1.4,2.32,2.5,2.68,3.09,3.36,4.11,5.71,7.05,7.76,7.26,8.32
American Samoa,,,,,,,,,,,,,,,,,,,,
Andorra,,,1.64,4.92,8.24,13.11,18.05,22.41,24.65,27.16,29.01,30.76,32.64,34.34,36.32,39.35,42.03,44.52,46.31,47.13
Angola,,,,,,,0.04,0.06,0.07,0.07,0.06,0.07,0.08,0.09,0.33,0.55,0.29,0.33,0.36,0.37
Anguilla,,10.67,11.83,13.73,11.9,17.81,22.42,25.65,27.96,28.31,28.2,28.98,29.72,30.82,31.18,35.02,,,,
Antigua and Barbuda,,,,,2.07,7.12,1.86,2.7,5.84,18.46,8.09,6.72,14.46,17.1,11.62,10.69,9.8,9.43,,
Argentina,,0.25,0.39,0.68,1.41,2.38,4.03,6.55,7.77,8.67,9.85,11.06,12.33,14.81,15.29,15.92,16.6,17.85,19.1,19.64
Armenia,,0,0,0,0.03,0.07,,0.13,0.47,1.38,3.25,5.58,7.35,8.39,9.37,9.79,10.19,10.71,11.77,13.04
Aruba,,,,1.44,7.05,12.27,13.84,15.8,18.15,18.53,18.9,,,18.61,18.5,18.21,,,,
Australia,,0.64,1.33,2.63,5.09,9.99,19,,24.92,24,24.87,24.63,25.04,25.72,27.7,28.53,30.39,32.23,33.85,34.54
Austria,2.36,3.96,5.54,7.35,10.59,14.22,17.28,19.51,20.73,22.44,24.38,24.81,25.05,26.09,27.38,28.29,28.85,28.47,28.35,28.06
Azerbaijan,,,0.01,,,0.03,0.05,0.17,0.68,1.12,5.26,10.65,14.78,18.24,19.97,19.74,18.53,18.34,19.01,19.34
Bahamas,,1.37,2.45,3.49,4.01,4.12,5.01,6.08,7.42,9.04,6.96,4.31,21.43,19.74,20.82,21.65,22.52,22.75,21.06,21.13
Bahrain,,0.17,0.68,1.25,1.8,2.41,4.03,6.59,8.4,11.77,12.48,22.81,22.72,22.82,21.52,18.45,16.3,14.32,11.76,12.49
Bangladesh,,,,,,,,0.03,0.03,0.22,0.28,0.31,0.4,1,2,3.13,4.17,4.57,4.99,4.96
Barbados,,,,9.96,10.76,11.56,13.98,16.91,17.58,20.39,19.92,22.13,23.58,23.85,27.29,27.43,30.4,31.21,31.17,37.21
Belarus,,,0,0,0.01,0.02,0.12,1.79,5.06,11.58,17.69,22.28,26.89,29.56,28.46,30.76,32.48,33.47,33.87,
Belgium,1.4,4.46,7.87,11.93,15.46,19.06,23.09,25.52,27.67,29.04,30.84,32.18,33.31,34.33,35.75,36.51,37.61,38.35,39.22,39.78
Belize,,,,0.35,1.02,1.77,2.49,2.5,2.62,2.65,2.76,2.94,2.95,2.86,2.8,4.82,4.99,5.06,6.44,7.58
Benin,,,0,0,0,0,0.02,0.01,0.1,0.21,0.29,0.4,0.43,0.42,0.44,0.69,0.21,0.26,0.24,0.22
Bermuda,,,,,,27.9,35.69,43.55,51.5,60.91,61.33,,,62.28,54.24,47.1,35.98,36.18,,
Bhutan,,,,,,,,,0.31,0.5,1.27,1.91,2.39,2.88,3.47,3.83,2.24,2.24,1.43,1.15
Bolivia (Plurinational State of),,,0.04,0.06,0.1,0.14,0.19,0.36,0.82,0.97,0.95,0.72,1.12,1.46,1.61,1.66,2.61,3.39,4.44,
Bosnia and Herzegovina,0,0,0.01,0.04,0.18,0.36,1.06,2.25,5.02,7.82,10.55,11.75,13.02,14.57,15.58,18.52,19.56,20.9,21.55,22.6
Botswana,,,,,,0.09,0.1,0.19,0.46,0.51,0.6,0.95,1.09,1.05,1.59,1.74,2.73,1.47,1.78,1.95
Brazil,0.06,0.19,0.41,0.53,1.72,1.74,2.53,4,5.22,6.05,7.2,9.03,9.59,10.63,11.82,12.46,13.03,13.91,14.91,15.43
British Virgin Islands,,,,,,,,,,28.44,24.75,25.78,25.95,21.43,22.05,22.85,21.18,16.92,15.82,
Brunei Darussalam,,0.56,0.8,1.09,1.74,2.23,2.42,3.1,4.45,5.22,5.58,5.89,4.97,6.81,7.38,8.3,8.6,9.68,11.53,12.51
Bulgaria,,,,,0.09,2.15,5.04,8.3,11.21,13.35,15.15,17.03,18.16,19.5,20.44,22.42,23.74,25.3,27,27.65
Burkina Faso,,,0,0,0,0,0.01,0.05,0.07,0.08,0.09,0.09,0.09,0.08,0.03,0.05,0.07,0.06,0.07,0.06
Burundi,,,,,,,,,0,0,0,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.03
Cabo Verde,,,,,0.06,0.2,0.39,0.81,1.53,2.25,3.26,4.28,3.93,4.14,3.68,3.16,2.93,2.79,2.88,3.22
