numbers,country_code,tz,COU
1,AD,+01:00,AND
2,AE,+04:00,ARE
3,AF,+04:30,AFG
4,AG,−04:00,ATG
5,AI,−04:00,AIA
6,AL,+01:00,ALB
7,AM,+04:00,ARM
8,AO,+01:00,AGO
9,AQ,+11:00,ATA
10,AQ,+07:00,ATA
11,AQ,+10:00,ATA
12,AQ,+05:00,ATA
13,AQ,+12:00,ATA
14,AQ,−03:00,ATA
15,AQ,−03:00,ATA
16,AQ,+12:00,ATA
17,AQ,+03:00,ATA
18,AQ,+00:00,ATA
19,AQ,+06:00,ATA
20,AR,−03:00,ARG
21,AR,−03:00,ARG
22,AR,−03:00,ARG
23,AR,−03:00,ARG
24,AR,−03:00,ARG
25,AR,−03:00,ARG
26,AR,−03:00,ARG
27,AR,−03:00,ARG
28,AR,−03:00,ARG
29,AR,−03:00,ARG
30,AR,−03:00,ARG
31,AR,−03:00,ARG
32,AR,−03:00,ARG
33,AR,−03:00,ARG
34,AR,−03:00,ARG
35,AR,−03:00,ARG
36,AR,−03:00,ARG
37,AR,−03:00,ARG
38,AR,−03:00,ARG
39,AS,−11:00,ASM
40,AT,+01:00,AUT
41,AU,+10:00,AUS
42,AU,+10:00,AUS
43,AU,+09:30,AUS
44,AU,+10:00,AUS
45,AU,+09:30,AUS
46,AU,+10:00,AUS
47,AU,+10:00,AUS
48,AU,+09:30,AUS
49,AU,+08:45,AUS
50,AU,+10:00,AUS
51,AU,+10:30,AUS
52,AU,+10:00,AUS
53,AU,+10:30,AUS
54,AU,+10:00,AUS
55,AU,+09:30,AUS
56,AU,+10:00,AUS
57,AU,+08:00,AUS
58,AU,+10:00,AUS
59,AU,+09:30,AUS
60,AU,+10:00,AUS
61,AU,+10:00,AUS
62,AU,+10:00,AUS
63,AU,+08:00,AUS
64,AU,+09:30,AUS
65,AW,−04:00,ABW
66,AX,+02:00,ALA
67,AZ,+04:00,AZE
68,BA,+01:00,BIH
69,BB,−04:00,BRB
70,BD,+06:00,BGD
71,BD,+06:00,BGD
72,BE,+01:00,BEL
73,BF,+00:00,BFA
